Lot 55,40.525288,-74.46446,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 56,40.524998,-74.463295,
Lot 57A,40.52488,-74.46296,
Lot 57B,40.524376,-74.4625,
Lot 57C,40.525608,-74.46642,
Lot 58,40.52593,-74.46677,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 58A,40.526203,-74.46735,Resident
Lot 58B,40.527393,-74.46886,
Lot 58C,40.51846,-74.45843,"""Faculty/Staff ,Resident"""
Lot 59,40.49868,-74.44982,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 6,40.52155,-74.459274,Faculty/Staff 
Lot 60A,40.521957,-74.45901,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 60B,40.52616,-74.458626,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 61,40.51279,-74.46368,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 611,40.523563,-74.454605,
Lot 62,40.527008,-74.45701,"""Faculty/Staff,Resident"""
Lot 63,40.52296,-74.45603,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 63A,40.523495,-74.45396,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 63C,40.52059,-74.46037,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 64,40.519382,-74.45483,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 659,40.518658,-74.4557,
Lot 65A,40.519592,-74.4562,Resident
Lot 65B,40.519577,-74.45698,Resident
Lot 65C,40.519993,-74.454926,Resident
Lot 65D,40.520214,-74.45385,Resident
Lot 66A,40.52022,-74.45692,Resident
Lot 67,40.521572,-74.457466,"""Faculty/Staff,Resident"" "
Lot 67A,40.524105,-74.459946,Resident
Lot 68,40.487373,-74.43791,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 69,40.499294,-74.45066,Faculty/Staff
Lot 7,40.483345,-74.434814,Faculty/Staff 
Lot 70,40.48393,-74.4371,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Night Commuter,Resident"" "
Lot 700,40.48559,-74.43632,
Lot 702,40.48005,-74.44158,
Lot 707,40.480885,-74.44059,
Lot 709,40.48116,-74.43041,
Lot 71,40.48447,-74.436035,
Lot 711,40.482334,-74.429565,
Lot 717,40.481403,-74.42903,
Lot 71A,40.48502,-74.435745,"""Faculty/Staff,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"""
Lot 72,40.48669,-74.43336,
Lot 73,40.486217,-74.430336,
Lot 74,40.480537,-74.432076,
Lot 74A,40.48585,-74.43228,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 75,40.48166,-74.43224,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 76,40.48252,-74.43566,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 77,40.48431,-74.433586,
Lot 78,40.485603,-74.43893,
Lot 79,40.484768,-74.43341,"""Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Resident"""
Lot 79A,40.49919,-74.448586,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 8,40.4812,-74.42755,Faculty/Staff 
Lot 80,40.47329,-74.42524,
Lot 803,40.47406,-74.4203,
Lot 804,40.48337,-74.43092,
Lot 81,40.48207,-74.43097,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 82,40.477165,-74.42632,"""Faculty/Staff,Commuter Zone A,Commuter Lot C,Commuter Zone D,Commuter Lot L,Night Commuter,Resident"""
Lot 83,40.478416,-74.42453,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 84,40.483013,-74.43822,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 86,40.482166,-74.43942,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 87,40.479984,-74.429,
Lot 88,40.500813,-74.450096,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 88 College Avenue,40.480865,-74.43923,Faculty/Staff
Lot 89,40.499477,-74.447426,
Lot 9,40.479412,-74.43478,Faculty/Staff 
Lot 90,40.479855,-74.43483,
Lot 91,40.48164,-74.43621,
Lot 92,40.472355,-74.43686,
Lot 94,40.479618,-74.4443,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 95,40.48002,-74.426315,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 96,40.480415,-74.42757,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 96A,40.479053,-74.43817,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone D,Commuter Zone L,Night Commuter,Resident"" "
Lot 97,40.47731,-74.437706,"""Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter,Resident,Resident"" "
Lot 98A,40.47726,-74.43208,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter"" "
Lot 98B,40.477734,-74.42845,"""Faculty/Staff,Commuter Zone A,Commuter Zone B,Commuter Zone C,Commuter Zone D,Commuter Zone L,Night Commuter"" "
Lot 99A,40.477524,-74.42975,"""Faculty/Staff,Resident"""
Lot 99B,40.478687,-74.43593,"""Faculty/Staff,Resident"""
Lot 99C,40.47638,-74.42888,"""Faculty/Staff,Resident"""
Lot 99D,40.479454,-74.42498,"""Faculty/Staff,Resident"""
Lot Behind ASB II,40.481277,-74.440605,
Lot Corwins A,40.5258,-74.43994,"""Faculty/Staff,Commuter Zone A""  "
Lot Golf Course Maintenance,40.52073,-74.4746,
Lot Golf Course Parking,40.52044,-74.42964,
Lot Green Lot - RAC,40.527332,-74.4661,
Lot Imani Park,40.514557,-74.467995,
Lot Johnson Apartments Parking,40.482765,-74.431564,
Lot Katzenbach,40.478836,-74.426056,
Lot Law Center,40.528408,-74.46668,
Lot Nichols Apartments Parking,40.487644,-74.43895,
Lot OFF CAMPUS,40.473732,-74.43469,
Lot P,40.488354,-74.43938,
Lot Public Safety B,40.52392,-74.44147,
Lot Russell Apts Parking,40.506027,-74.45421,
Lot Rutgers Club,40.48115,-74.425224,
Lot Scarlet Lot-RAC,40.527096,-74.47017,
Lot Sears,40.502903,-74.44795,
Lot Seminary,40.526295,-74.46471,
Lot UMDNJ Parking,40.527393,-74.43849,
Lot West Lot,40.51441,-74.45986,
Lot Yellow Lot - RAC,40.513615,-74.46744,
Lot Yurcak Soccer Field,39.949028,-75.1292,
